TDP,Strategy0,Strategy1,Strategy2,Strategy3,Strategy4
50.00,0.400000,0.268000,0.200000,0.400000,0.200000
75.00,0.600000,0.484000,0.400000,0.600000,0.400000
100.00,0.800000,0.696000,0.600000,0.800000,0.600000
125.00,0.800000,0.864000,0.800000,1.000000,0.800000
150.00,0.800000,0.900000,1.000000,0.800000,1.000000
175.00,0.800000,0.880000,1.000000,0.800000,1.000000
200.00,0.800000,0.876000,1.000000,0.800000,1.000000
225.00,0.800000,0.888000,1.000000,0.800000,1.000000
250.00,0.800000,0.888000,1.000000,0.800000,1.000000
275.00,0.800000,0.908000,1.000000,0.800000,1.000000
300.00,0.800000,0.920000,1.000000,0.800000,1.000000
