TDP,Strategy,MeanSuccessRate,StdSuccessRate,CI95_Lower_Success,CI95_Upper_Success,MeanAppSetSchedulability,StdAppSetSchedulability,CI95_Lower_AppSet,CI95_Upper_AppSet,MeanMakespan,StdMakespan,CI95_Lower_Makespan,CI95_Upper_Makespan,MeanRuntimeMs,StdRuntimeMs,TotalIterations
10.00,0,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000,0.000,0.000,0.000,131.84,4.88,50
10.00,1,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000,0.000,0.000,0.000,130.72,5.86,50
10.00,2,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000,0.000,0.000,0.000,130.04,5.46,50
10.00,3,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000,0.000,0.000,0.000,131.36,5.19,50
10.00,4,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000,0.000,0.000,0.000,130.78,5.46,50
30.00,0,0.236000,0.048000,0.222695,0.249305,0.000000,0.000000,0.000000,0.000000,66.140,6.539,64.327,67.953,243.28,6.90,50
30.00,1,0.252000,0.049960,0.238152,0.265848,0.000000,0.000000,0.000000,0.000000,68.440,6.184,66.726,70.154,241.78,9.85,50
30.00,2,0.230000,0.045826,0.217298,0.242702,0.000000,0.000000,0.000000,0.000000,65.960,6.343,64.202,67.718,241.76,9.59,50
30.00,3,0.246000,0.049840,0.232185,0.259815,0.000000,0.000000,0.000000,0.000000,69.020,5.669,67.449,70.591,242.00,7.69,50
30.00,4,0.252000,0.049960,0.238152,0.265848,0.000000,0.000000,0.000000,0.000000,67.100,5.818,65.487,68.713,242.58,9.61,50
50.00,0,0.490000,0.041231,0.478571,0.501429,0.000000,0.000000,0.000000,0.000000,70.320,3.373,69.385,71.255,269.38,10.18,50
50.00,1,0.482000,0.055462,0.466627,0.497373,0.000000,0.000000,0.000000,0.000000,69.120,3.308,68.203,70.037,268.90,14.97,50
50.00,2,0.472000,0.056710,0.456281,0.487719,0.000000,0.000000,0.000000,0.000000,68.980,3.277,68.072,69.888,272.88,10.80,50
50.00,3,0.490000,0.036056,0.480006,0.499994,0.000000,0.000000,0.000000,0.000000,69.220,3.706,68.193,70.247,270.24,13.44,50
50.00,4,0.478000,0.057585,0.462038,0.493962,0.000000,0.000000,0.000000,0.000000,68.400,3.600,67.402,69.398,270.96,12.53,50
